batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
30,15:58:52,6.261,4.387,7.4,4.312,9.942,3.39,3.969,4.817,8.232,4.673
7,15:58:52,1.835,8.827,0.956,6.795,2.429,0.642,6.671,5.35,4.097,1.963
197,15:58:52,7.44,3.125,3.15,8.934,3.93,4.309,7.664,7.273,1.538,3.666
72,15:58:52,1.34,4.21,0.229,1.65,3.474,4.476,7.645,7.613,5.32,1.694
20,15:58:52,9.001,5.585,1.261,3.428,7.555,0.085,6.852,6.424,5.16,4.34
65,15:58:52,7.641,1.924,2.356,12.0,9.465,0.122,4.221,4.128,8.244,0.668
196,15:58:52,8.509,5.786,0.965,4.678,9.444,0.784,1.893,7.374,8.643,1.627
188,15:58:52,5.605,4.407,5.609,4.866,6.116,3.124,4.005,8.043,6.63,8.491
10,15:58:52,6.909,6.842,1.869,0.565,3.069,3.683,6.475,8.452,7.891,1.738
60,15:58:52,5.755,9.666,8.538,5.667,0.936,9.717,7.549,1.47,8.328,7.534
